user_type,intent,category,query,response,priority
student,course_access,Course,"Hi, i cannot access my course after enrolling right now.",I can help you check your course access. Please make sure you are signed in with the account used for enrollment; I can then verify your enrollment and course entitlement.,medium
student,enrollment,Enrollment,"Hello, how can I enroll in a course?","To resolve the enrollment issue, the system should verify your enrollment status and the course you selected. Please share the course name if it is not already shown in your account.",medium
student,payment,Payments,I need help: my payment failed while buying a course.,I can help investigate the payment problem by checking the transaction and enrollment records associated with your account.,low
student,refund,Payments,Could you help me with this: how can I request a refund?,I can help with the refund request. Refund eligibility and processing time depend on the platform's current refund policy and your transaction status.,low
student,certificate,Certification,Please help me with this issue: i completed my course but cannot find my certificate.,"If your certificate is missing or incorrect, I can help verify your completion status and certificate record and guide you through the next step.",medium
student,assignment,Assignments,I have a problem: i cannot submit my assignment.,I can help you troubleshoot the assignment submission or explain the applicable submission and resubmission process.,medium
student,exam,Exams,Can you help me: when is my next exam?,"I can help with your exam question. We can check the exam schedule, access requirements, result status, or any technical issue affecting the exam.",medium
student,technical_issue,Technical Support,"Hi, my course video is not playing. Please advise.","For a technical problem, we should identify whether the issue affects the course page, video, lesson material, app, or the whole platform.",medium
student,account,Account,"Hello, i cannot log in to my student account. Please advise.","I can help you resolve the account issue, including password recovery, login problems, or updating registered details.",low
student,course_information,Course,I need help: what topics are covered in this course? Please advise.,"I can provide course information such as the syllabus, duration, topics, projects, and prerequisites. Please share the course name if it is not already clear.",low
student,schedule,Classes,Could you help me with this: when is my next live class? Please advise.,"For a scheduling issue, the system should check your enrolled sessions and the latest class timetable before giving you the correct time.",low
student,tutor_support,Tutor Support,Please help me with this issue: my tutor has not responded to my question. Please advise.,I can help review the tutor or session issue and determine whether it can be resolved directly or needs support-team assistance.,medium
student,progress,Learning Progress,I have a problem: how can I check my course progress? Please advise.,I can help you check your course progress and identify why a completed lesson may still appear incomplete.,low
student,attendance,Classes,Can you help me: where can I check my class attendance? Please advise.,"For an attendance issue, the system should review your session records and the attendance policy for the course.",low
student,subscription,Subscription,"Hi, how can I check my subscription? Could you help?","I can help you review or manage your subscription, including renewal, cancellation, or plan-change questions.",low
student,academic_question,Academic Support,"Hello, can you explain a difficult concept from my course? Could you help?",Absolutely. I can help explain the academic concept step by step and use a simpler example if needed.,low
student,course_content,Course,I need help: where can I find the lesson materials? Could you help?,"For missing course content, we should verify the lesson and resource availability in your enrolled course.",low
student,feedback_complaint,Support,Could you help me with this: i want to submit feedback about my course. Could you help?,"I can help with your complaint by capturing the issue, checking whether it can be resolved directly, and escalating it when necessary.",low
student,human_support,Support,Please help me with this issue: i want to speak with a human support agent right now. Could you help?,"I can help gather the details of your issue and, when needed, connect it to the appropriate human support team.",low
student,unknown,Other,I have a problem: can you help me with something that is not related to my course? Could you help?,I’m not yet sure which support area your question belongs to. Please share a little more detail about the issue.,low
student,course_access,Course,Can you help me: my course is not visible in my dashboard. Could you help?,I can help troubleshoot the missing course. We should first verify your enrollment and confirm that the course entitlement is active.,medium
student,enrollment,Enrollment,"Hi, my course enrollment is still pending right now. What should I do?","I can help with enrollment. We can check whether the enrollment is pending, failed, or associated with the wrong course and then guide you through the next step.",medium
student,payment,Payments,"Hello, the amount was deducted but my payment shows failed. What should I do?","For a payment issue, we should check the transaction status and match it with your course enrollment. Please keep the payment reference available if you have it.",low
student,refund,Payments,I need help: am I eligible for a course refund? What should I do?,I can help you with the refund process. The next step is to review the purchase details and applicable refund policy.,low
student,certificate,Certification,Could you help me with this: when will my course certificate be issued? What should I do?,I can help check your certificate status. We should verify that the course requirements are complete and that the certificate has been generated for your account.,medium
student,assignment,Assignments,Please help me with this issue: how can I upload an assignment? What should I do?,"For an assignment problem, we should verify the assignment availability, deadline, and submission record before deciding the next step.",medium
student,exam,Exams,I have a problem: how can I access my online exam? What should I do?,I can help you check the exam details or troubleshoot an exam access problem.,medium
student,technical_issue,Technical Support,Can you help me: the learning platform keeps showing an error right now. What should I do?,I can help troubleshoot the technical issue. Please make sure your connection is stable and try reopening the course; the system can then check for account or platform-specific problems.,medium
student,account,Account,"Hi, how can I reset my password? Please let me know what I should do.","If you cannot access or update your account, we should first verify your identity and then guide you through the appropriate account-recovery or profile-update process.",low
student,course_information,Course,"Hello, how long does the course take to complete? Please let me know what I should do.","I can help with course details such as topics, syllabus, duration, and whether the course is suitable for your current level.",low
student,schedule,Classes,I need help: where can I see my class schedule? Please let me know what I should do.,"I can help you check your class schedule. We can verify the next session, timing, and any available rescheduling options.",low
student,tutor_support,Tutor Support,Could you help me with this: how can I contact my course tutor? Please let me know what I should do.,"If your tutor has not responded or a session was cancelled, I can help verify the session status and guide you through the appropriate support process.",medium
student,progress,Learning Progress,Please help me with this issue: why is my completed lesson still showing as incomplete? Please let me know what I should do.,I can help you review your current course progress and identify any lessons or activities that still need completion.,low
student,attendance,Classes,I have a problem: my attendance was marked incorrectly right now. Please let me know what I should do.,I can help check your attendance record. We can verify the sessions you attended and identify any missing or incorrect attendance entries.,low
student,subscription,Subscription,Can you help me: when does my subscription expire? Please let me know what I should do.,"For a subscription issue, we should verify your active plan and billing status before making changes.",low
student,academic_question,Academic Support,"Hi, i need help understanding today's lesson. Can you guide me?","I can explain the concept in a simpler way, give an example, or provide a hint so you can solve the problem yourself.",low
student,course_content,Course,"Hello, can I download the course resources? Can you guide me?","I can help you find the lesson notes, practice material, and other course resources. Please share the course or lesson name if needed.",low
student,feedback_complaint,Support,I need help: i have a complaint about my learning experience. Can you guide me?,I can help record your feedback or complaint and make sure the relevant support team receives the details needed to review it.,low
student,human_support,Support,Could you help me with this: can you connect me with customer support? Can you guide me?,"I can help route your issue to a human support representative, especially when the case needs manual review.",low
student,unknown,Other,Please help me with this issue: i have a question that does not fit the usual support options right now. Can you guide me?,"I can still help. Please describe what you are trying to do and what is going wrong, and I will determine the best support path.",low
student,course_access,Course,I have a problem: the course page is not opening for me. Can you guide me?,Your course access can depend on enrollment and entitlement status. Please sign in to the enrolled account so the system can check why the course is locked or missing.,medium
student,enrollment,Enrollment,Can you help me: i enrolled in the wrong course. What should I do? Can you guide me?,I can help you with the enrollment process or an enrollment failure. We first need to confirm your selected course and current enrollment status.,medium
student,payment,Payments,"Hi, i was charged twice for the same course today.","I can help check your payment status. The next step is to verify whether the payment was successful, pending, failed, or duplicated.",high
student,refund,Payments,"Hello, my refund has not reached my account.","We can check whether your purchase is eligible for a refund and, if a refund has already been initiated, verify its current status.",low
student,certificate,Certification,I need help: my certificate has the wrong name.,I can help you locate or troubleshoot your certificate by checking your course completion and certificate status.,medium
